Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-777,Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,30,6
++,BT-774,Green Procurement,Code,Yes,"An approach to reducing the environmental impacts of the work, supply or service (e.g. requesting compliance with an environmental label).",O,new term overall,,30,6
++,BT-775,Social Procurement,Code,Yes,"A social objective promoted by the works, supplies or services (e.g. fair working conditions).",O,new term overall,,30,6
++,BT-776,Innovative Procurement,Code,Yes,"An indication that innovative works, supplies or services are being bought (e.g. the procured works, supplies or services being novel for the whole market).",O,new term overall,,30,6
++,BT-715,Vehicles,Number,No,"The number of all vehicles (regardless of whether clean or not) falling within the scope of Directive 2009/33/EC. These vehicles have either been purchased, leased, rented, hired-purchased or their use has been contractually committed to for the provision of a purchased service falling within the scope of the Directive 2009/33/EC. ",O,new term overall,,30,6
++,BT-725,Vehicles Zero Emission,Number,No,"The number of zero-emission heavy-duty vehicles as defined by and falling within the scope of Directive 2009/33/EC. These vehicles have either been purchased, leased, rented, hired-purchased or their use has been contractually committed to for the provision of a purchased service falling within the scope of Directive 2009/33/EC.",O,new term overall,,30,6
++,BT-716,Vehicles Clean,Number,No,"The number of clean vehicles as defined by and falling within the scope of Directive 2009/33/EC. These vehicles have either been purchased, leased, rented, hired-purchased, or their use has been contractually committed to for the provision of a purchased service falling within the scope of Directive 2009/33/EC.",O,new term overall,,30,6
++,BT-754,Accessibility,Code,Yes,The use of accessibility criteria for persons with disabilities in the technical specifications.,O,new term overall,,30,6
++,BT-755,Accessibility Justification,Text,No,The justification for not including accessibility criteria even though the procurement is intended for use by natural persons.,O,new term overall,,30,6
++,BT-13722,Buyer Review Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,new term overall,,30,6
++,BT-712,Buyer Review Complainants,Number,No,"The number of organisations that requested the buyer to review any of its decisions (e.g. the technical specifications, award decision).",O,new term overall,,30,6
+++,BT-635,Buyer Review Requests Count,Number,No,The number of requests the buyer received to review any of its decisions.,O,new term overall,,30,6
+++,BT-636,Buyer Review Requests Irregularity Type,Code,No,The type of irregularity alleged in the review requests.,O,new term overall,,30,6
++,BT-13715,Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,30,6
++,BT-115,GPA Coverage,Indicator,No,The procurement is covered by the Government Procurement Agreement (GPA).,M,IV.1.8,Information about the Government Procurement Agreement (GPA),30,6
++,BT-634,Procurement Relaunch,Indicator,No,This cancelled or unsuccessful procedure or lot will be relaunched.,O,new term overall,,30,6
++,BT-756,PIN Competition Termination,Indicator,No,"The prior information notice used as a call for competition (or a specific lot) is terminated. No further contracts, besides those published in this notice, will be awarded following this prior information notice used as a call for competition. This field can be used even if no contracts are awarded in the contract award notice.",CM,IV.2.9.1,The contracting authority will not award any further contracts based on the above prior information notice,30,6
++,BT-300,Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,30,6
++,BT-195,Unpublished Identifier,Identifier,No,"Identifier of the field that shall not be immediately published. Only fields concerning the Result value and groups of fields concerning the Tender and Procedure Lot Result can be unpublished. In the case of the sectoral Directive, the award criteria, the procurement procedure, certain dates and in certain cases information about the nature and quantity of a service can be unpublished as well.",O,new term overall,,30,6
++,BT-197,Unpublished Justification Code,Code,No,The justification for not immediately publishing a field.,O,new term overall,,30,6
++,BT-196,Unpublished Justification Description,Text,No,The justification for not immediately publishing a field and for the choice of a later date at which it can be published.,O,new term overall,,30,6
++,BT-198,Unpublished Accessibility Date,Date,No,The later date at which the originally unpublished field shall be published.,O,new term overall,,30,6
++,BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,15,7
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,15,7
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,15,7
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,15,7
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,15,7
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,15,7
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),15,7
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,15,7
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,15,7
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,15,7
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,IV.2.1,Previous publication concerning this procedure,15,7
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,15,7
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,15,7
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,15,7
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number,15,7
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,15,7
++,BT-510,Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,15,7
++,BT-513,Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,15,7
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,15,7
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,15,7
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,15,7
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,15,7
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,15,7
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,15,7
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,15,7
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,15,7
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,15,7
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,15,7
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,15,7
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,15,7
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,15,7
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,new term,,15,7
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.5,Main activity,15,7
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,M,new term overall,,15,7
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,new term,,15,7
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,15,7
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,15,7
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,15,7
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,15,7
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,15,7
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,15,7
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,15,7
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,15,7
++,BT-94,Recurrence,Indicator,No,"Procurement whose purpose is likely to also be included in another procedure in the foreseeable future. (For example, a regularly re-tendered municipal service. This does not include awarding multiple contracts within a single qualification system, framework agreement, or a dynamic purchasing system.)",O,new term,,15,7
++,BT-95,Recurrence Description,Text,No,Any additional information about recurrence (e.g. estimated timing).,O,new term,,15,7
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",CM,new term,,15,7
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,15,7
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,15,7
++,BT-5121,Place Performance Post Code,Text,No,The postcode of the place of performance.,O,II.2.3.2,Main site or place of performance,15,7
++,BT-5071,Place Performance Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS). The NUTS3 classification code must be used.,CM,II.2.3.1,NUTS code,15,7
++,BT-5141,Place Performance Country Code,Code,No,The country of the place of performance.,CM,II.2.3.2,Main site or place of performance,15,7
++,BT-727,Place Performance Services Other,Code,No,"There are other restrictions on the place of performance (e.g. ""anywhere in the European Economic Area"", ""anywhere in the given country""). ",CM,new term overall,,15,7
++,BT-728,Place Performance Additional Information,Text,No,Additional information about the place of performance.,O,II.2.3.2,Main site or place of performance,15,7
++,BT-1373,Duration Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",CM,new term,,15,7
++,BT-536,Duration Start Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",CM,II.2.8.1,Start date,15,7
++,BT-36,Duration Period,Duration,No,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",CM,new term,,15,7
++,BT-537,Duration End Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",CM,II.2.8.2,End date,15,7
++,BT-538,Duration Other,Code,No,"The duration is unknown, unlimited, etc.",CM,II.2.8.3,Indefinite duration,15,7
++,BT-58,Renewal Maximum,Number,No,"The maximum number of times the contract can be renewed. By renewing, the buyer reserves the right (i.e. not an obligation) to renew the contract (i.e. extend its duration) without a new procurement procedure. For example, a contract may be valid for one year and the buyer may keep a possibility to renew it (e.g. once, twice) for another three months, if he is content with the services he received.",M,new term,,15,7
++,BT-57,Renewal Description,Text,No,Any other information about the renewal(s).,CM,new term,,15,7
++,BT-1374,Funds Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the EU funds section refers to this lot or these lots.,CM,new term,,15,7
++,BT-60,EU Funds,Indicator,No,The procurement is at least partially financed by European Union funds such as the European Structural and Investment Funds or grants awarded by the European Union.,O,II.2.13.1,The procurement is related to a project and/or programme financed by European Union funds,15,7
++,BT-67,Exclusion Grounds,Text,No,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds.",O,III.1.9.1,Conditions to be fulfilled by economic operators in view of their qualification,15,7
++,BT-1378,Selection Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the selection criteria section refers to this lot or these lots.,CM,new term overall,,15,7
++,BT-747,Selection Criteria Type,Code,No,"The criteria (or criterion) concern(s), for example, economic and financial standing or technical and professional ability. ",M,III.2.1.1,Execution of the service is reserved to a particular profession,15,7
++,BT-748,Selection Criteria Used,Code,No,"The criteria (or criterion) of the given type are (is) used, unused, or (in case of prior information notice used as a call for competition or to reduce time limits) the use is not yet known.",M,new term overall,,15,7
++,BT-749,Selection Criteria Name,Text,No,The name of the selection criteria (or criterion).,O,new term,,15,7
++,BT-750,Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,new term,,15,7
++,BT-40,Selection Criteria Second Stage Invite,Indicator,No,The criteria (or criterion) will (only) be used to select the candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).,O,new term overall,,15,7
+++,BT-752,Selection Criteria Second Stage Invite Number,Number,No,A number linked to the selection criteria (or criterion).,O,new term overall,,15,7
+++,BT-7531,Selection Criteria Second Stage Invite Number Weight,Code,No,Whether the number linked to a selection criterion (or selection criteria) is a type of weight (e.g. a percentage).,O,new term overall,,15,7
+++,BT-7532,Selection Criteria Second Stage Invite Number Threshold,Code,No,"Whether the number linked to a selection criterion (or selection criteria) is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term overall,,15,7
++,BT-1379,Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,15,7
++,BT-71,Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",M,III.1.5.1,The contract is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons,15,7
++,BT-79,Performing Staff Qualification,Code,No,Whether the names and professional qualifications of the staff assigned to perform the contract must be given.,O,III.2.3,Information about staff responsible for the performance of the contract,15,7
++,BT-578,Security Clearance,Indicator,No,A security clearance is required.,O,new term overall,,15,7
++,BT-78,Security Clearance Deadline,Date,No,The time limit by which tenderers who do not hold a security clearance may obtain it.,O,new term,,15,7
++,BT-732,Security Clearance Description,Text,No,"Additional information about the security clearance (e.g. which level of security clearance is required, which team members must have it, whether it is necessary already for accessing the procurement documents or only for contract execution).",O,new term overall,,15,7
++,BT-13717,Terms Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the contract terms section refer this lot (or part) or these lots (or parts).",CM,new term overall,,15,7
++,BT-736,Reserved Execution,Code,No,Whether the execution of the contract must be performed in the framework of sheltered employment programmes.,M,III.1.5.2,The execution of the contract is restricted to the framework of sheltered employment programmes,15,7
++,BT-761,Tenderer Legal Form,Indicator,No,A certain legal form must be taken by a group of tenderers that is awarded a contract.,O,new term,,15,7
++,BT-76,Tenderer Legal Form Description,Text,No,The legal form that must be taken by a group of tenderers that is awarded a contract.,O,new term,,15,7
++,BT-70,Terms Performance,Text,No,"The main information about the performance of the contract (e.g. intermediary deliverables, compensation for damages, intellectual property rights).",O,III.2.2,Contract performance conditions,15,7
++,BT-92,Electronic Ordering,Indicator,No,Electronic ordering will be used.,O,VI.2.1,Electronic ordering will be used,15,7
++,BT-77,Terms Financial,Text,No,The main information about financing and payment and/or reference to any provisions that govern them.,O,new term,,15,7
++,BT-743,Electronic Invoicing,Code,No,"Whether the buyer will require, allow or not allow electronic invoices.",O,VI.2.2,Electronic invoicing will be accepted,15,7
++,BT-93,Electronic Payment,Indicator,No,Electronic payment will be used.,O,VI.2.3,Electronic payment will be used,15,7
++,BT-13710,Award Criteria Lot Identifier,Identifier,Yes,"An identifier of one or more lots or one or more groups of lots. The information in the award criteria section refers to this lot, these lots, this group, or these groups.",CM,new term,,15,7
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.1,Quality criterion – Name: / Weighting:,15,7
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.2,Cost criterion – Name: / Weighting:,15,7
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.3,Price – Weighting,15,7
+++,BT-734,Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,15,7
+++,BT-734,Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,15,7
+++,BT-540,Award Criterion Description,Text,No,The description of the award criterion.,O,new term,,15,7
++++,BT-541,Award Criterion Number,Number,No,A number linked to an award criterion.,O,new term,,15,7
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,15,7
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,15,7
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.3,Price – Weighting,15,7
++++,BT-5422,Award Criterion Number Fixed,Code,No,"Whether the number linked to an award criterion is a fixed value (e.g. a fixed price, a fixed cost).",O,new term,,15,7
++++,BT-5423,Award Criterion Number Threshold,Code,No,"Whether the number linked to an award criterion is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term,,15,7
++,BT-543,Award Criteria Complicated,Text,No,"The mathematical equation or any other description used for complicated weighing of criteria (e.g. non-linear weighing, the analytic hierarchy process) when a weighing cannot be expressed per criterion. ",O,new term,,15,7
++,BT-733,Award Criteria Order Justification,Text,No,"The justification for only indicating the award criteria's order of importance, not their weighing.",O,new term,,15,7
++,BT-13712,Communication Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the communication section refers to this lot (or part) or these lots (or parts).",CM,new term,,15,7
++,BT-632,Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,15,7
++,BT-724,Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,15,7
++,BT-124,Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",15,7
++,BT-99,Review Deadline Description,Text,No,The description of the time limits for review procedures.,O,VI.4.3,Review procedure,15,7
++,BT-13718,Documents Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the procurement documents section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,15,7
++,BT-15,Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",O,I.3.1,"The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)",15,7
++,BT-708,Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,15,7
++,BT-737,Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,15,7
++,BT-14,Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,O,new term,,15,7
++,BT-707,Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,15,7
++,BT-615,Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,O,I.3.2,Access to the procurement documents is restricted. Further information can be obtained at (URL),15,7
++,BT-13,Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,15,7
++,BT-13719,Submission Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the submission terms section refers to this lot or these lots.,CM,new term,,15,7
++,BT-17,Submission Electronic,Code,No,"Whether economic operators are required, allowed or not allowed to submit tenders, requests to participate, or expressions of interest electronically.",M,I.3.4.1,electronically via: (URL),15,7
++,BT-19,Submission Nonelectronic Justification,Code,No,"The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.",O,new term overall,,15,7
++,BT-745,Submission Nonelectronic Description,Text,No,"The description of how to submit tenders, requests to participate, or expressions of interest non-electronically.",O,new term overall,,15,7
++,BT-18,Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.1,To the abovementioned address,15,7
++,BT-18,Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.2,To the following address (please provide another address),15,7
++,BT-97,Submission Language,Code,Yes,"A language in which tenders, requests to participate, or expressions of interest may be submitted.",O,IV.2.4,Languages in which tenders or requests to participate may be submitted,15,7
++,BT-744,Submission Electronic Signature,Indicator,No,Advanced or qualified electronic signature or seal (as defined in Regulation (EU) No 910/2014) is required.,O,new term overall,,15,7
++,BT-751,Guarantee Required,Indicator,No,A guarantee is required.,O,new term,,15,7
++,BT-75,Guarantee Required Description,Text,No,"The description of the financial guarantee required from the tenderer when submitting a tender. The guarantee can take the form of, for example, a payment to the buyer or a document from a bank. Typically, the guarantee would be forfeit when a tenderer has won the contract but then refused to sign it.",O,new term,,15,7
++,BT-771,Late Tenderer Information,Code,No,Whether tenderer-related information can be supplemented even after the submission deadline.,O,new term overall,,15,7
++,BT-772,Late Tenderer Information Description,Text,No,Description of the tenderer-related information that can be supplemented even after the submission deadline.,O,new term overall,,15,7
++,BT-13721,Strategic Procurement Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the strategic procurement section refers to this section or these sections.,CM,new term overall,,15,7
++,BT-06,Strategic Procurement,Code,Yes,"Use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,15,7
++,BT-777,Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,15,7
++,BT-774,Green Procurement,Code,Yes,"An approach to reducing the environmental impacts of the work, supply or service (e.g. requesting compliance with an environmental label).",O,new term overall,,15,7
++,BT-775,Social Procurement,Code,Yes,"A social objective promoted by the works, supplies or services (e.g. fair working conditions).",O,new term overall,,15,7
++,BT-776,Innovative Procurement,Code,Yes,"An indication that innovative works, supplies or services are being bought (e.g. the procured works, supplies or services being novel for the whole market).",O,new term overall,,15,7
++,BT-754,Accessibility,Code,Yes,The use of accessibility criteria for persons with disabilities in the technical specifications.,O,new term overall,,15,7
++,BT-755,Accessibility Justification,Text,No,The justification for not including accessibility criteria even though the procurement is intended for use by natural persons.,O,new term overall,,15,7
++,BT-13715,Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,new term,,15,7
++,BT-726,Suitable For SMEs,Indicator,No,The buyer emphasizes that this procurement is also suitable for small and medium enterprises (SMEs).,O,new term overall,,15,7
++,BT-115,GPA Coverage,Indicator,No,The procurement is covered by the Government Procurement Agreement (GPA).,M,new term,,15,7
++,BT-634,Procurement Relaunch,Indicator,No,This cancelled or unsuccessful procedure or lot will be relaunched.,O,new term overall,,15,7
++,BT-300,Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,15,7
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,1,8
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,2,8
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,3,8
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,1,8
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,2,8
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,3,8
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,1,8
