Name,eformsNotice,sfNotice,eforms_xpath,BT,sfLevel,BG_lvl1,BG_lvl2,BG_lvl3,guidance,status,comments
Organisation Country Subdivision,33,21,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CountrySubentityCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:CountrySubentityCode,BT-507,I.1.5,BG-703,,,"Take the NUTS code in the `CODE` attribute, and map to the party's `.address.region`\n\nThere's an open issue ([#739](https://github.com/open-contracting/standard/issues/739)) about region codes. (ISSUE)",imported_from_sf,
Organisation eDelivery Gateway,33,21,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:EndpointID;/*/cac:ContractingParty/cac:Party/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:EndpointID;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:EndpointID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cbc:EndpointID,BT-509,new term overall,BG-703,,,,,
Organisation Street,33,21,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:StreetName;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:StreetName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:StreetName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:StreetName,BT-510,I.1.3,BG-703,,,Map to the party's `.address.streetAddress`,imported_from_sf,
Organisation Post Code,33,21,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:PostalZone;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:PostalZone;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:PostalZone;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:PostalZone,BT-512,I.1.6,BG-703,,,Map to the party's `.address.postalCode`,imported_from_sf,
Organisation City,33,21,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CityName;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CityName;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CityName;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:CityName,BT-513,I.1.4,BG-703,,,Map to the party's `.address.locality`,imported_from_sf,
Organisation Country Code,33,21,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:IdentificationCode;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:IdentificationCode,BT-514,I.1.7,BG-703,,,"Take the country code in the `VALUE` attribute, translate to a country name, and map to the party's `.address.countryName`\n\nThere's an open issue ([#524](https://github.com/open-contracting/standard/issues/524)) to add a `.countryCode` field to the `Address` object, to avoid translation. (ISSUE)",imported_from_sf,
Organisation Natural Person,33,21,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:IndustryClassificationCode[@listName='legal-person'];/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:IndustryClassificationCode[@listName='legal-person'];/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cbc:IndustryClassificationCode[@listName='legal-person'],BT-633,new term overall,BG-703,,,,,
Organisation Contact Fax,33,21,/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Telefax;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Telefax;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:Contact/cbc:Telefax;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telefax,BT-739,I.1.11,BG-703,,,Map to the party's `.contactPoint.faxNumber`,imported_from_sf,
Organisation Subrole,33,21,,BT-770,new term overall,BG-703,,,,,
Activity Authority,33,21,/*/cac:ContractingPartyType/cac:ContractingActivity/cbc:ActivityTypeCode[@listName=authority-activity'],BT-10,I.5,BG-703,BG-3,,"Get the `Organization` object for the buyer, and add a `Classification` object to its `.details.classifications` array. Set the classification's `.scheme` to ['COFOG'](https://unstats.un.org/unsd/publications/catalogue?selectID=145), and set its `.id` and/or `.description` as follows:",imported_from_sf,
Buyer Legal Type,33,21,/*/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-legal-type'],BT-11,I.4,BG-703,BG-3,,"Get the `Organization` object for the buyer, and add a `Classification` object to its `.details.classifications` array. Set the classification's `.scheme` to 'TED_CA_TYPE', and set its `.id` and/or `.description` as follows:",imported_from_sf,
Buyer Profile URL,33,21,/*/cac:ContractingParty/cbc:BuyerProfileURI,BT-508,I.1.12.2,BG-703,BG-3,,Map to the party's `.details.buyerProfile`,imported_from_sf,
Winner Size,33,21,/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cbc:IndustryClassificationCode[@listName='economic-operator-size'],BT-165,V.2.3.12,BG-703,BG-4,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,imported_from_sf,
Winner Owner Nationality,33,21,/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:PartyLegalEntity/cac:ShareHolderParty/cac:Party/cac:Person/cbc:NationalityID,BT-706,new term overall,BG-703,BG-4,,,,
Winner Listed,33,21,/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cbc:IndustryClassificationCode[@listName='winner-listed'],BT-746,new term overall,BG-703,BG-4,,,,
Framework Buyer Categories,33,21,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cac:SubsequentProcessTenderRequirement[cbc:Name/text()='buyer-categories']/cbc:Description,BT-111,new term overall,BG-706,,,,,
Dynamic Purchasing System Termination,33,21,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingProcess/cbc:TerminatedIndicator[../cbc:ContractingSystemCode/@listName='dps-usage'],BT-119,new term,BG-706,,,,,
Techniques Lot Identifier,33,21,,BT-13711,new term overall,BG-706,,,,,
Framework Agreement,33,21,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ContractingSystem/cbc:ContractingSystemTypeCode[@listName='framework-agreement'],BT-765,IV.1.3.1,BG-706,,,Set `tender.techniques.hasFrameworkAgreement` to `true`,imported_from_sf,
Dynamic Purchasing System,33,21,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ContractingSystem/cbc:ContractingSystemTypeCode[@listName='dps-usage'],BT-766,new term,BG-706,,,,,
Electronic Auction,33,21,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AuctionTerms/cbc:AuctionConstraintIndicator,BT-767,new term,BG-706,,,,,
Award Criteria Lot Identifier,33,21,,BT-13710,new term,BG-707,,,,,
Award Criteria Complicated,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cbc:CalculationExpression,BT-543,new term,BG-707,,,,,
Award Criteria Order Justification,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cbc:Description,BT-733,new term,BG-707,,,,,
Award Criterion Type,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:AwardingCriterionTypeCode[@listName='award-criterion-type'],BT-539,new term,BG-707,BG-38,,,,
Award Criterion Description,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:Description,BT-540,new term,BG-707,BG-38,,,,
Award Criterion Name,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:Name,BT-734,new term,BG-707,BG-38,,,,
Award Criterion Number,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticalNumeric,BT-541,new term,BG-707,BG-38,BG-541,,,
Award Criterion Number Weight,33,21,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticsCode[@listName='number-weight'],BT-5421,new term,BG-707,BG-38,BG-541,,,
