id,eforms_xpath,group,bt,name,notes
167,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_info-emp,BT-512,Post Code,
168,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_info-emp,BT-507,Country Subdivision,NUTS3 code
169,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_info-emp,BT-514,Country Code,
170,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_info-emp,BT-502,Contact Point,
171,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_info-emp,BT-506,Contact Email Address,
172,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_info-emp,BT-503,Contact Telephone Number,
173,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_info-emp,BT-739,Contact Fax,
174,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:DocumentType[./text()='restricted-document'],ProcurementProjectLot_tenderingTerms,BT-14,Documents Restricted,
175,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cbc:DocumentTypeCode,ProcurementProjectLot_tenderingTerms,BT-707,Documents Restricted Justification,
176,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID,ProcurementProjectLot_tenderingTerms,BT-708,Documents Official Language,Repeat parent element per linguistic versions
177,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID[../cbc:DocumentStatusCode/text()='non-official'],ProcurementProjectLot_tenderingTerms,BT-737,Documents Unofficial Language,
178,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[not(cbc:DocumentType/text()='restricted-document')]/cac:Attachment/cac:ExternalReference/cbc:URI,ProcurementProjectLot_tenderingTerms,BT-15,Documents URL,
179,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cac:Attachment/cac:ExternalReference/cbc:URI,ProcurementProjectLot_tenderingTerms,BT-615,Documents Restricted URL,
180,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:PaymentTerms/cbc:Note,ProcurementProjectLot_tenderingTerms,BT-77,Terms Financial,
181,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:TendererRequirementTypeCode[@listName='reserved-procurement'],ProcurementProjectLot_tenderingTerms,BT-71,Reserved Participation,
182,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TendererQualificationRequest/cbc:CompanyLegalFormCode,ProcurementProjectLot_tenderingTerms,BT-761,Tenderer Legal Form,
183,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TendererQualificationRequest/cbc:CompanyLegalForm,ProcurementProjectLot_tenderingTerms,BT-76,Tenderer Legal Form Description,
184,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:TendererRequirementTypeCode[@listName='missing-info-submission'],ProcurementProjectLot_tenderingTerms,BT-771,Late Tenderer Information,
185,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement[./cbc:TendererRequirementTypeCode/@listName='missing-info-submission']/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-772,Late Tenderer Information Description,
186,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AllowedSubcontractTerms/cbc:SubcontractingConditionsCode[@listName='subcontracting-obligation'],ProcurementProjectLot_tenderingTerms,BT-65,Subcontracting Obligation,
187,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AllowedSubcontractTerms/cbc:MaximumPercent,ProcurementProjectLot_tenderingTerms,BT-729,Subcontracting Obligation Maximum,
188,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AllowedSubcontractTerms/cbc:MinimumPercent,ProcurementProjectLot_tenderingTerms,BT-64,Subcontracting Obligation Minimum,
189,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderPreparation[cbc:TenderEnvelopeID/text()='subcontracting-tender-indication']/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-651,Subcontracting Tender Indication,
190,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:ContractExecutionRequirement/cbc:ExecutionRequirementCode[@listName='reserved-execution'],ProcurementProjectLot_tenderingTerms,BT-736,Reserved Execution,
191,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:ContractExecutionRequirement/cbc:ExecutionRequirementCode[@listName='einvoicing'],ProcurementProjectLot_tenderingTerms,BT-743,Electronic Invoicing,
192,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:ContractExecutionRequirement[cbc:ExecutionRequirementCode/text()='performance']/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-70,Terms Performance,
193,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:ContractExecutionRequirement/cbc:ExecutionRequirementCode[@listName='ecatalog-submission'],ProcurementProjectLot_tenderingTerms,BT-764,Submission Electronic Catalog,
194,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:ContractExecutionRequirement/cbc:ExecutionRequirementCode[@listName='esignature-submission'],ProcurementProjectLot_tenderingTerms,BT-744,Submission Electronic Signature,
195,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cbc:FollowupContractIndicator,ProcurementProjectLot_tenderingTerms,BT-41,Following Contract,
196,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cbc:BindingOnBuyerIndicator,ProcurementProjectLot_tenderingTerms,BT-42,Jury Decision Binding,
197,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cbc:NoFurtherNegotiationIndicator,ProcurementProjectLot_tenderingTerms,BT-120,No Negotiation Necessary,
198,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-733,Award Criteria Order Justification,
199,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cbc:CalculationExpression,ProcurementProjectLot_tenderingTerms,BT-543,Award Criteria Complicated,
200,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticsCode[@listName='number-weight'],ProcurementProjectLot_tenderingTerms,BT-5421,Award Criterion Number Weight,
201,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticsCode[@listName='number-fixed'],ProcurementProjectLot_tenderingTerms,BT-5422,Award Criterion Number Fixed,
202,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticsCode[@listName='number-threshold'],ProcurementProjectLot_tenderingTerms,BT-5423,Award Criterion Number Threshold,
203,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:AwardCriterionStatistics/efbc:StatisticalNumeric,ProcurementProjectLot_tenderingTerms,BT-541,Award Criterion Number,
204,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:AwardingCriterionTypeCode[@listName='award-criterion-type'],ProcurementProjectLot_tenderingTerms,BT-539,Award Criterion Type,
205,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:Name,ProcurementProjectLot_tenderingTerms,BT-734,Award Criterion Name,
206,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:AwardingCriterion/cac:SubordinateAwardingCriterion/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-540,Award Criterion Description,
207,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:Prize/cac:TechnicalCommitteePerson/cbc:FamilyName,ProcurementProjectLot_tenderingTerms,BT-46,Jury Member Name,
208,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:Prize/cbc:RankCode,ProcurementProjectLot_tenderingTerms,BT-44,Prize Rank,
209,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:Prize/cbc:ValueAmount,ProcurementProjectLot_tenderingTerms,BT-644,Value Prize,
210,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:Prize/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-45,Rewards Other,With value amount O and RankCode
211,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_info-prov,BT-505,Internet Address,
212,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_info-prov,BT-509,eDelivery Gateway,.
213,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_info-prov,BT-633,Organisation Natural Person,
214,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_info-prov,BT-500,Name,
215,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_info-prov,BT-501,Identifier,
216,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_info-prov,BT-16,Part Name,
217,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_info-prov,BT-510,Street,
218,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_info-prov,BT-513,City,
219,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_info-prov,BT-512,Post Code,
220,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_info-prov,BT-507,Country Subdivision,NUTS3 code
221,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_info-prov,BT-514,Country Code,
222,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_info-prov,BT-502,Contact Point,
223,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_info-prov,BT-506,Contact Email Address,
224,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_info-prov,BT-503,Contact Telephone Number,
225,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_info-prov,BT-739,Contact Fax,
226,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_offl-acc,BT-505,Internet Address,
227,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_offl-acc,BT-509,eDelivery Gateway,.
228,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_offl-acc,BT-633,Organisation Natural Person,
229,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_offl-acc,BT-500,Name,
230,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_offl-acc,BT-501,Identifier,
231,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_offl-acc,BT-16,Part Name,
232,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_offl-acc,BT-510,Street,
233,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_offl-acc,BT-513,City,
234,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_offl-acc,BT-512,Post Code,
235,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_offl-acc,BT-507,Country Subdivision,NUTS3 code
236,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_offl-acc,BT-514,Country Code,
237,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_offl-acc,BT-502,Contact Point,
238,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_offl-acc,BT-506,Contact Email Address,
239,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_offl-acc,BT-503,Contact Telephone Number,
240,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_offl-acc,BT-739,Contact Fax,
241,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_recepient,BT-505,Internet Address,
242,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_recepient,BT-18 (BT-509),Submission URL (eDelivery Gateway),
243,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_recepient,BT-633,Organisation Natural Person,
244,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_recepient,BT-500,Name,
245,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_recepient,BT-501,Identifier,
246,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_recepient,BT-16,Part Name,
247,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_recepient,BT-510,Street,
248,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_recepient,BT-513,City,
249,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_recepient,BT-512,Post Code,
250,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_recepient,BT-507,Country Subdivision,NUTS3 code
251,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_recepient,BT-514,Country Code,
252,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_recepient,BT-502,Contact Point,
253,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_recepient,BT-506,Contact Email Address,
254,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_recepient,BT-503,Contact Telephone Number,
255,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_recepient,BT-739,Contact Fax,
256,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_req-proc,BT-505,Internet Address,
257,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_req-proc,BT-509,eDelivery Gateway,.
258,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_req-proc,BT-633,Organisation Natural Person,
259,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_req-proc,BT-500,Name,
260,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_req-proc,BT-501,Identifier,
261,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_req-proc,BT-16,Part Name,
262,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_req-proc,BT-510,Street,
263,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_req-proc,BT-513,City,
264,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_req-proc,BT-512,Post Code,
265,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_req-proc,BT-507,Country Subdivision,NUTS3 code
266,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_req-proc,BT-514,Country Code,
267,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_req-proc,BT-502,Contact Point,
268,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_req-proc,BT-506,Contact Email Address,
269,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_req-proc,BT-503,Contact Telephone Number,
270,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_req-proc,BT-739,Contact Fax,
271,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderValidityPeriod/cbc:DurationMeasure,ProcurementProjectLot_tenderingTerms_req-proc,BT-98,Tender Validity Deadline,
272,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:PresentationPeriod/cbc:Description,ProcurementProjectLot_tenderingTerms_req-proc,BT-99,Review Deadline Description,
273,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_reviewer,BT-505,Internet Address,
274,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_reviewer,BT-509,eDelivery Gateway,.
275,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_reviewer,BT-633,Organisation Natural Person,
276,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_reviewer,BT-500,Name,
277,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_reviewer,BT-501,Identifier,
278,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_reviewer,BT-16,Part Name,
279,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_reviewer,BT-510,Street,
280,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_reviewer,BT-513,City,
281,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_reviewer,BT-512,Post Code,
282,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_reviewer,BT-507,Country Subdivision,NUTS3 code
283,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_reviewer,BT-514,Country Code,
284,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_reviewer,BT-502,Contact Point,
285,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_reviewer,BT-506,Contact Email Address,
286,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_reviewer,BT-503,Contact Telephone Number,
287,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_reviewer,BT-739,Contact Fax,
288,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_rev-info,BT-505,Internet Address,
289,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_rev-info,BT-509,eDelivery Gateway,.
290,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_rev-info,BT-633,Organisation Natural Person,
291,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_rev-info,BT-500,Name,
292,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_rev-info,BT-501,Identifier,
293,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_rev-info,BT-16,Part Name,
294,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_rev-info,BT-510,Street,
295,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_rev-info,BT-513,City,
296,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_rev-info,BT-512,Post Code,
297,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_rev-info,BT-507,Country Subdivision,NUTS3 code
