id,id,Name,eformsNotice,sfNotice,legal_status,eforms_xpath,BT,bt_description,bt_datatype,sfLevel,guidance,status,comments
2568,2568,Organisation Country Subdivision,27,15,M,"['/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CountrySubentityCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CountrySubentityCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CountrySubentityCode']",BT-507,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,Code,I.1.5,Map to the party's `.address.region`. There is an [open issue](https://github.com/open-contracting/standard/issues/739) about region codes.,done (spread from notice 1),https://github.com/open-contracting/standard/issues/739
2569,2569,Organisation eDelivery Gateway,27,15,O,"['/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cbc:EndpointID', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID', '/*/cac:ContractingParty/cac:Party/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cbc:EndpointID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:EndpointID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:EndpointID']",BT-509,The organisation's uniform resource locator for exchange of data and documents.,URL,new term overall,Map to the party's `.eDeliveryEndpoint`,done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/62
2570,2570,Organisation Street,27,15,M,"['/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:StreetName', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:StreetName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:StreetName']",BT-510,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",Text,I.1.3,Map to the party's `.address.streetAddress`,done (spread from notice 15),
2571,2571,Organisation Post Code,27,15,M,"['/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:PostalZone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:PostalZone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:PostalZone']",BT-512,The post code of the organisation's physical address.,Text,I.1.6,Map to the party's `.address.postalCode`,done (spread from notice 15),
2572,2572,Organisation City,27,15,M,"['/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:CityName', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CityName', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CityName', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CityName', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:CityName']",BT-513,"The name of the locality (city, town or village) of the organisation's physical address.",Text,I.1.4,Map to the party's `.address.locality`,done (spread from notice 15),
2573,2573,Organisation Country Code,27,15,M,"['/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:IdentificationCode']",BT-514,The country of the organisation's physical address.,Code,I.1.7,"Translate to a country name, and map to the party's `.address.countryName`\n\nThere's an open issue ([#524](https://github.com/open-contracting/standard/issues/524)) to add a `.countryCode` field to the `Address` object, to avoid translation.",done (spread from notice 1),
2574,2574,Organisation Natural Person,27,15,O,"[""/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cbc:IndustryClassificationCode[@listName='legal-person']"", ""/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:IndustryClassificationCode[@listName='legal-person']""]",BT-633,The organisation is a natural person.,Indicator,new term overall,Discard. There's an open issue ([#883](https://github.com/open-contracting/standard/issues/883)) to distinguish natural persons from organizations.,done (spread from notice 1),
2575,2575,Organisation Contact Fax,27,15,M,"['/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Contact/cbc:Telefax', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:Contact/cbc:Telefax', '/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:Contact/cbc:Telefax', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Telefax', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Telefax']",BT-739,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",Text,I.1.11,Map to the party's `.contactPoint.faxNumber`,done (spread from notice 15),
2576,2576,Organisation Subrole,27,15,O,[''],BT-770,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",Code,new term overall,Add to the party's `.roles` array,done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/63
2577,2577,Activity Authority,27,15,O,"[""/*/cac:ContractingPartyType/cac:ContractingActivity/cbc:ActivityTypeCode[@listName=authority-activity']""]",BT-10,The main activity of the contracting authority.,Code,I.5,"Get the Organization object, and add a Classification object to its `.details.classifications` array.  Map to its `.id`. Set its `.description` according to the definition corresponding to the code in the [EU Main Activity concept-scheme](https://op.europa.eu/en/web/eu-vocabularies/concept-scheme/-/resource?uri=http://publications.europa.eu/resource/authority/main-activity).

If the code is in the [COFOG classification](https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Classification_of_the_functions_of_government_\(COFOG\)), set the classification's `.scheme` to ['COFOG'](https://unstats.un.org/unsd/publications/catalogue?selectID=145). Otherwise, set the classification's `.scheme` to ['Directive 2014/25/EU'](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32014L0025#d1e2854-243-1).",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/64
2578,2578,Buyer Legal Type,27,15,O,"[""/*/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-legal-type']""]",BT-11,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",Code,I.4,"Get the Organization object for the buyer, and add a Classification object to its `.details.classifications` array. Set the classification's `.scheme` to 'TED_CA_TYPE', map to its `.id` and set its `.description` according to the [official codelist](https://op.europa.eu/en/web/eu-vocabularies/concept-scheme/-/resource?uri=http://publications.europa.eu/resource/authority/buyer-legal-type).",done (spread from notice 1),
2579,2579,Buyer Profile URL,27,15,O,['/*/cac:ContractingParty/cbc:BuyerProfileURI'],BT-508,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",URL,new term,Map to the party's `.details.buyerProfile`.,done (spread from notice 1),
2580,2580,Activity Entity,27,15,O,"[""/*/cac:ContractingPartyType/cac:ContractingActivity/cbc:ActivityTypeCode[@listName='entity-activity']""]",BT-610,The main activity of the contracting entity.,Code,new term overall,"Get the Organization object, and add a Classification object to its `.details.classifications` array.  Map to its `.id`. Set its `.description` according to the definition corresponding to the code in the [EU Main Activity code list](https://op.europa.eu/en/web/eu-vocabularies/concept-scheme/-/resource?uri=http://publications.europa.eu/resource/authority/main-activity).

If the code is in the [COFOG classification](https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Classification_of_the_functions_of_government_\(COFOG\)), set the classification's `.scheme` to ['COFOG'](https://unstats.un.org/unsd/publications/catalogue?selectID=145). Otherwise, set the classification's `.scheme` to ['Directive 2014/25/EU'](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32014L0025#d1e2854-243-1).",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/64
2581,2581,Buyer Contracting Entity ,27,15,O,"[""/*/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-contracting-type'']""]",BT-740,The buyer is a contracting entity.,Indicator,new term overall,"In the party object that has 'buyer' in its `.roles` array, add 'contractingEntity' to its `.roles` array",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/65
2582,2582,Winner Size,27,15,O,"[""/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cbc:IndustryClassificationCode[@listName='economic-operator-size']""]",BT-165,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",Code,V.2.3.12,Map to the party's `.details.scale`,done (spread from notice 29),https://github.com/open-contracting/european-union-support/issues/81
