Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++,BG-137,    Procedure Lot Result,-,Yes,Information about the result of the procurement procedure. This information differs per lot.,,---,,8,4
+++,BG-712,        Received Submissions,-,Yes,Information about the types of tenders or requests to participate received.,,---,,8,4
++,BG-320,    Tender,-,Yes,"Information about a tender. This information differs per lot. In cases such as design contests, some framework agreements and innovation partnerships, this information may also differ per organisation.",,---,,8,4
+++,BG-180,        Subcontracting,-,No,Information regarding the parts of the contract that the contractor will subcontract to third parties.,,---,,8,4
++,BG-310,    Contract,-,Yes,"Information about the contract between a buyer and a winner following a tender. In case of voluntary-ex ante transparency notices and design contest result notices, information about the decision of the evaluation committee or the jury, respectively. This information may differ per tender.",,---,,8,4
+++,BG-611,        Contract EU Funds,-,Yes,"Information about European Union funds used to finance the contract. The most concrete information must be given (e.g. about concrete projects, not just operational programs.)",,---,,8,4
+,BG-713,Strategic Procurement,-,Yes,Information about strategic procurement. This information may differ per section of the notice.,O,---,,8,4
++,BT-13721,    Strategic Procurement Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the strategic procurement section refers to this section or these sections.,CM,new term overall,,8,4
++,BT-06,    Strategic Procurement,Code,Yes,"Use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,8,4
++,BT-777,    Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,8,4
++,BT-774,    Green Procurement,Code,Yes,"An approach to reducing the environmental impacts of the work, supply or service (e.g. requesting compliance with an environmental label).",O,new term overall,,8,4
++,BT-775,    Social Procurement,Code,Yes,"A social objective promoted by the works, supplies or services (e.g. fair working conditions).",O,new term overall,,8,4
++,BT-776,    Innovative Procurement,Code,Yes,"An indication that innovative works, supplies or services are being bought (e.g. the procured works, supplies or services being novel for the whole market).",O,new term overall,,8,4
++,BT-754,    Accessibility,Code,Yes,The use of accessibility criteria for persons with disabilities in the technical specifications.,O,new term overall,,8,4
++,BT-755,    Accessibility Justification,Text,No,The justification for not including accessibility criteria even though the procurement is intended for use by natural persons.,O,new term overall,,8,4
+,BG-612,    Buyer Review Summary,-,No,"Summary information about the requests the buyer received to review any of its decisions (e.g. the technical specifications, award decision), as set out in Art. 1(5) of Directive 89/665/EEC and Directive 92/13/EEC, and about the complainants that submitted the requests.",,---,,8,4
++,BG-613,    Buyer Review Requests,-,Yes,"Information about the number and type of requests the buyer received to review any of its decisions (e.g. the technical specifications, award decision).",,---,,8,4
+,BG-710,Additional Information,-,Yes,"Any information not mentioned elsewhere. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,8,4
++,BT-13715,    Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,8,4
++,BT-726,    Suitable For SMEs,Indicator,No,The buyer emphasizes that this procurement is also suitable for small and medium enterprises (SMEs).,O,new term overall,,8,4
++,BT-115,    GPA Coverage,Indicator,No,The procurement is covered by the Government Procurement Agreement (GPA).,M,IV.1.8,Information about the Government Procurement Agreement (GPA),8,4
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,II.2.14,Additional information,8,4
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,8,4
+,BG-8,Not Immediately Published,-,Yes,Information about fields not intended for immediate publication. This information may differ per field.,,---,,8,4
+,BG-77,Modification,-,Yes,"Information about modifications of the contract (e.g. additional works, services or supplies). This information may differ per section of the previous notice.",,---,,8,4
+,BG-9,Change,-,Yes,Information about changes to the notice. This information may differ per section of the previous notice.,,---,,8,4
+,BG-714,Review,-,Yes,Information about a review request or a review decision.,,---,,8,4
+,BG-1,Notice,-,No,Basic information about the notice.,M,---,,11,4
++,BT-04,    Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,11,4
++,BT-701,    Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,11,4
++,BT-757,    Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,11,4
++,BT-01,    Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,11,4
++,BT-03,    Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,11,4
++,BT-02,    Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,11,4
++,BT-05,    Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),11,4
++,BT-738,    Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,11,4
++,BT-702,    Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,11,4
+,BG-125,Previous Planning,-,Yes,"Information about a prior information notice or another similar notice related to this notice. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,11,4
++,BT-1371,    Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,11,4
++,BT-125,    Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,11,4
++,BT-1251,    Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,11,4
+,BG-703,Organisation,-,Yes,"Information about the organisation. This information may differ per lot, per contract, per tender, etc. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-13720,    Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,11,4
++,BT-500,    Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name ,11,4
++,BT-501,    Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number ,11,4
++,BT-16,    Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,11,4
++,BT-510,    Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,11,4
++,BT-513,    Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,11,4
++,BT-512,    Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code ,11,4
++,BT-507,    Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,11,4
++,BT-514,    Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,11,4
++,BT-502,    Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,11,4
++,BT-506,    Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,11,4
++,BT-503,    Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,11,4
++,BT-739,    Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,11,4
++,BT-505,    Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,11,4
++,BT-509,    Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,11,4
++,BT-633,    Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,11,4
++,BT-08,    Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,11,4
++,BT-770,    Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,11,4
++,BG-3,    Buyer,-,No,Additional information about the buyer.,CM,---,,11,4
+++,BT-508,        Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,11,4
+++,BT-11,        Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,new term,,11,4
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.5,Main activity,11,4
+++,BT-610,        Activity Entity,Code,No,The main activity of the contracting entity.,M,new term overall,,11,4
++,BG-4,    Winner,-,No,"Additional information about the winner, tenderer or subcontractor.",,---,,11,4
++,BG-715,    Review Body,-,No,Additional information about the review body.,,---,,11,4
+,BG-2,Purpose,-,Yes,"Information about the purpose. This information must be given for the whole procurement procedure and, if they exist, also per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-137,    Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,11,4
++,BT-22,    Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,11,4
++,BT-23,    Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract   ,11,4
++,BT-531,    Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,11,4
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,11,4
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,11,4
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,11,4
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,11,4
++,BT-27,    Estimated Value,Value,No,"The estimated maximum value of the procurement procedure or lot. Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement or a dynamic purchasing system, over their whole duration, including options and renewals.",O,II.1.5.1,Value excluding VAT,11,4
++,BT-27,    Estimated Value,Value,No,"The estimated maximum value of the procurement procedure or lot. Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement or a dynamic purchasing system, over their whole duration, including options and renewals.",O,II.2.6.1,Value excluding VAT,11,4
++,BG-557,    Group Framework Estimated Maximum Value,-,Yes,Information about the estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots).,O,---,,11,4
+++,BT-557,        Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,11,4
+++,BT-157,        Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,11,4
++,BG-261,    Classification,-,Yes,"Information about the classification(s) describing the purchase. The common procurement vocabulary (CPV) classification type must be used. Additionally, other classifications (e.g. the World Health Organisation's anatomical therapeutic chemical (ATC) classification for pharmaceuticals; the medical devices nomenclature under the Regulation (EU) 2017/745) may, if made available by the Publications Office of the EU, be used.)",M,---,,11,4
+++,BT-26,        Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,11,4
+++,BT-262,        Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,11,4
+++,BT-263,        Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,11,4
++,BT-25,    Quantity,Number,No,The number of units required.,O,new term,,11,4
++,BT-625,    Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,11,4
++,BT-53,    Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,CM,II.2.11.1,Options,11,4
++,BT-54,    Options Description,Text,No,The description of the options.,CM,II.2.11.2,Description of options,11,4
+,BG-708,Place of Performance,-,Yes,"Information about the main location of works in case of works; main place of delivery or performance in case of supplies and services. If the place of performance covers several NUTS 3 areas (e.g. a highway, a national network of job centres), then all relevant codes must be given. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-1372,    Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,11,4
++,BT-5101,    Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,11,4
++,BT-5131,    Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,11,4
++,BT-5121,    Place Performance Post Code,Text,No,The postcode of the place of performance.,O,II.2.3.2,Main site or place of performance,11,4
++,BT-5071,    Place Performance Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS). The NUTS3 classification code must be used.,CM,II.2.3.1,NUTS code,11,4
++,BT-5141,    Place Performance Country Code,Code,No,The country of the place of performance.,CM,II.2.3.2,Main site or place of performance,11,4
++,BT-727,    Place Performance Services Other,Code,No,"There are other restrictions on the place of performance (e.g. ""anywhere in the European Economic Area"", ""anywhere in the given country""). ",CM,new term overall, ,11,4
++,BT-728,    Place Performance Additional Information,Text,No,Additional information about the place of performance.,O,II.2.3.2,Main site or place of performance,11,4
+,BG-36,Duration,-,Yes,"Information about the duration of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-1373,    Duration Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",CM,II.2.1.1,Lot no,11,4
++,BT-536,    Duration Start Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",CM,II.2.7.2,Start,11,4
++,BT-36,    Duration Period,Duration,No,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",CM,II.2.7.1,Duration (months or days),11,4
++,BT-537,    Duration End Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",CM,II.2.7.3,End,11,4
++,BT-538,    Duration Other,Code,No,"The duration is unknown, unlimited, etc.",CM,new term,,11,4
++,BT-58,    Renewal Maximum,Number,No,"The maximum number of times the contract can be renewed. By renewing, the buyer reserves the right (i.e. not an obligation) to renew the contract (i.e. extend its duration) without a new procurement procedure. For example, a contract may be valid for one year and the buyer may keep a possibility to renew it (e.g. once, twice) for another three months, if he is content with the services he received.",O,II.2.7.4,This contract is subject to renewal ,11,4
++,BT-57,    Renewal Description,Text,No,Any other information about the renewal(s).,O,II.2.7.5,Description of renewals,11,4
+,BG-61,EU Funds,-,Yes,Information about European Union funds used to finance the procurement. This information may differ per lot.,O,---,,11,4
++,BT-1374,    Funds Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the EU funds section refers to this lot or these lots.,CM,II.2.1.1,Lot no,11,4
++,BT-60,    EU Funds,Indicator,No,The procurement is at least partially financed by European Union funds such as the European Structural and Investment Funds or grants awarded by the European Union.,O,II.2.13.1,The procurement is related to a project and/or programme financed by European Union funds,11,4
+,BG-6,Procedure,-,No,Information about the procurement procedure.,M,---,,11,4
++,BT-09,    Cross Border Law,Text,No,The applicable law when buyers from different countries procure together within one procurement procedure.,O,I.2.1.1,"In the case of joint procurement involving different countries, state applicable national procurement law:",11,4
++,BT-105,    Procedure Type,Code,No,The type of procurement procedure (e.g. according to the types given in the procurement Directives).,M,IV.1.1,Type of procedure,11,4
++,BT-88,    Procedure Features,Text,No,"The main features of the procedure (e.g. description of the individual stage(s)) and information about where the full rules for the procedure can be found. This information must be given when the procedure is not one of those mentioned in the procurement Directives. This can be the case for example for concessions, for social and other specific services, and in case of voluntary publication of procurement procedures below the EU procurement thresholds.",O,new term,,11,4
++,BT-31,    Lots Max Allowed,Number,No,The maximum number of lots for which one tenderer can submit tenders.,O,II.1.6.2.2,maximum number of lots one lot only,11,4
++,BT-31,    Lots Max Allowed,Number,No,The maximum number of lots for which one tenderer can submit tenders.,O,II.1.6.2.3,maximum number of lots one lot only,11,4
++,BT-763,    Lots All Required,Indicator,No,The tenderer must submit tenders for all lots.,O,II.1.6.2.1,all lots,11,4
++,BT-33,    Lots Max Awarded,Number,No,The maximum number of lots for which contract(s) can be awarded to one tenderer.,O,II.1.6.3,Maximum number of lots that may be awarded to one tenderer,11,4
++,BG-330,    Group Lot Award,-,Yes,"Tenderers may submit tenders not only for individual lots, but also for the groups of lots given here. The buyer may then compare the tenders submitted for groups of lots with those for individual lots and evaluate which option best fulfils the award criteria. Each group of lots must have clear award criteria.",O,---,,11,4
+++,BT-330,        Group Identifier,Identifier,No,The identifier of a group of lots in the procedure.,O,new term overall,,11,4
+++,BT-1375,        Group Lot Identifier,Identifier,Yes,An identifier of several lots within this procedure. These lots form a group of lots for which one tender can be submitted and evaluated.,O,new term overall,,11,4
++,BG-709,    Second Stage,-,Yes,Information about the second stage of a two-stage procedure. This information may differ per lot.,O,---,,11,4
+++,BT-1376,        Second Stage Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the second stage section refers to this lot or these lots.,CM,new term,,11,4
+++,BT-50,        Minimum Candidates,Number,No,The minimum number of candidates to be invited for the second stage of the procedure.,O,new term,,11,4
+++,BT-661,        Maximum Candidates Indicator,Indicator,No,There is a maximum number of candidates to be invited for the second stage of the procedure.,O,new term overall,,11,4
+++,BT-51,        Maximum Candidates Number,Number,No,The maximum number of candidates to be invited for the second stage of the procedure.,O,new term,,11,4
+++,BT-52,        Successive Reduction,Indicator,No,"The procedure will take place in successive stages. In each stage, some participants may be eliminated.",O,new term,,11,4
+,BG-704,Reward and Jury,-,Yes,Information about the rewards and the jury in a design contest. This information may differ per lot.,,---,,11,4
++,BG-44,    Prize,-,Yes,"Information about the value and rank of a prize for a winner in the design contest (e.g. ""10,000 EUR - 1st place"", ""5,000 EUR - 2nd place"").",,---,,11,4
+,BG-701,Exclusion Grounds,-,No,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds. ",O,---,,11,4
++,BT-67,    Exclusion Grounds,Text,No,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds.",O,new term,,11,4
+,BG-702,Selection Criteria,-,Yes,Information about the selection criteria (or criterion). All criteria must be listed. This information may differ per lot.,M,---,,11,4
++,BT-1378,    Selection Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the selection criteria section refers to this lot or these lots.,CM,new term overall,,11,4
++,BT-747,    Selection Criteria Type,Code,No,"The criteria (or criterion) concern(s), for example, economic and financial standing or technical and professional ability. ",M,III.2.1.1,Execution of the service is reserved to a particular profession  ,11,4
++,BT-748,    Selection Criteria Used,Code,No,"The criteria (or criterion) of the given type are (is) used, unused, or (in case of prior information notice used as a call for competition or to reduce time limits) the use is not yet known.",M,new term overall,,11,4
++,BT-749,    Selection Criteria Name,Text,No,The name of the selection criteria (or criterion).,O,III.1.2.1,List and brief description of selection criteria,11,4
++,BT-749,    Selection Criteria Name,Text,No,The name of the selection criteria (or criterion).,O,III.1.3.1,List and brief description of selection criteria,11,4
++,BT-750,    Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,III.1.2.2,Minimum level(s) of standards possibly required,11,4
++,BT-750,    Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,III.1.3.2,Minimum level(s) of standards possibly required,11,4
++,BT-40,    Selection Criteria Second Stage Invite,Indicator,No,The criteria (or criterion) will (only) be used to select the candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).,O,new term overall,,11,4
++,BG-72,    Selection Criteria Second Stage Invite Number,-,Yes,Information about a number linked to the selection criteria (or criterion) used for selecting the candidates to be invited for the second stage of the procedure.,O,---,,11,4
+++,BT-752,        Selection Criteria Second Stage Invite Number,Number,No,A number linked to the selection criteria (or criterion).,O,new term overall,,11,4
+++,BT-7531,        Selection Criteria Second Stage Invite Number Weight,Code,No,Whether the number linked to a selection criterion (or selection criteria) is a type of weight (e.g. a percentage).,O,new term overall,,11,4
+++,BT-7532,        Selection Criteria Second Stage Invite Number Threshold,Code,No,"Whether the number linked to a selection criterion (or selection criteria) is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term overall,,11,4
+,BG-705,Other Requirements,-,Yes,"Information about any other requirements for participation in the procedure and terms governing the future contract. The requirements must include a description of methods according to which they will be verified. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-1379,    Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,11,4
++,BT-71,    Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",M,III.1.5.1,The contract is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons,11,4
++,BT-79,    Performing Staff Qualification,Code,No,Whether the names and professional qualifications of the staff assigned to perform the contract must be given.,O,III.2.3,Information about staff responsible for the performance of the contract,11,4
++,BT-578,    Security Clearance,Indicator,No,A security clearance is required.,O,new term overall,,11,4
++,BT-78,    Security Clearance Deadline,Date,No,The time limit by which tenderers who do not hold a security clearance may obtain it.,O,new term,,11,4
++,BT-732,    Security Clearance Description,Text,No,"Additional information about the security clearance (e.g. which level of security clearance is required, which team members must have it, whether it is necessary already for accessing the procurement documents or only for contract execution).",O,new term overall,,11,4
+,BG-711,Contract Terms,-,Yes,"Information about the terms governing the future contract. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-13717,    Terms Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the contract terms section refer this lot (or part) or these lots (or parts).",CM,new term overall,,11,4
++,BT-736,    Reserved Execution,Code,No,Whether the execution of the contract must be performed in the framework of sheltered employment programmes.,M,III.1.5.2,The execution of the contract is restricted to the framework of sheltered employment programmes,11,4
++,BT-761,    Tenderer Legal Form,Indicator,No,A certain legal form must be taken by a group of tenderers that is awarded a contract.,O,new term,,11,4
++,BT-76,    Tenderer Legal Form Description,Text,No,The legal form that must be taken by a group of tenderers that is awarded a contract.,O,new term,,11,4
++,BT-70,    Terms Performance,Text,No,"The main information about the performance of the contract (e.g. intermediary deliverables, compensation for damages, intellectual property rights).",O,III.2.2,Contract performance conditions,11,4
++,BT-92,    Electronic Ordering,Indicator,No,Electronic ordering will be used.,O,VI.2.1,Electronic ordering will be used,11,4
++,BT-77,    Terms Financial,Text,No,The main information about financing and payment and/or reference to any provisions that govern them.,O,new term,,11,4
++,BT-743,    Electronic Invoicing,Code,No,"Whether the buyer will require, allow or not allow electronic invoices.",O,VI.2.2,Electronic invoicing will be accepted,11,4
++,BT-93,    Electronic Payment,Indicator,No,Electronic payment will be used.,O,VI.2.3,Electronic payment will be used,11,4
+,BG-707,Award Criteria,-,Yes,Information about the award criteria. This information may differ per lot.,O,---,,11,4
++,BT-13710,    Award Criteria Lot Identifier,Identifier,Yes,"An identifier of one or more lots or one or more groups of lots. The information in the award criteria section refers to this lot, these lots, this group, or these groups.",CM,II.2.1.1,Lot no,11,4
++,BG-38,    Award Criterion,-,Yes,Information about the award criterion.,O,---,,11,4
+++,BT-539,        Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.1,Quality criterion – Name: / Weighting:,11,4
+++,BT-539,        Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.2,Cost criterion – Name: / Weighting:,11,4
+++,BT-539,        Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.3,Price – Weighting,11,4
+++,BT-734,        Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,11,4
+++,BT-734,        Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,11,4
+++,BT-540,        Award Criterion Description,Text,No,The description of the award criterion.,O,new term,,11,4
+++,BG-541,        Award Criterion Number,-,Yes,Information about a number linked to an award criterion.,O,---,,11,4
