Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
d_repetition_existing,,,"New works/services, constituting a repetition of existing works/services and ordered in accordance with the strict conditions stated in the directive",Nouveaux travaux/services consistant dans la répétition de travaux/services existants et commandés dans des conditions rigoureusement conformes à celles figurant dans la directive,"Neue Bauleistungen/Dienstleistungen, die in der Wiederholung ähnlicher Bau- oder Dienstleistungen bestehen und die gemäß den strengen Vorschriften der Richtlinie vergeben werden","Ново/и строителство/услуги, които представляват повторение на съществуващи строителство/услуги и които са възложени в съответствие със строгите условия, указани в директивата","Nové stavební práce/služby, které představují opakování stávajících stavebních prací/služeb a jsou objednány v souladu s přísnými podmínkami stanovenými ve směrnici","Nye bygge- og anlægsarbejder eller tjenesteydelser, der er en gentagelse af tilsvarende bygge- og anlægsarbejder eller tjenesteydelser og bestilt under streng overholdelse af direktivets betingelser","Νέα έργα/υπηρεσίες, που συνίστανται στην επανάληψη υφιστάμενων έργων/υπηρεσιών και που παραγγέλλονται σύμφωνα με τους αυστηρούς όρους που προβλέπονται στην οδηγία",Obras/servicios nuevos que consisten en una repetición de obras/servicios existentes y se solicitan con arreglo a las condiciones estrictas establecidas en la Directiva,"Uued ehitustööd/teenused, mis seisnevad samalaadsete ehitustööde/teenuste kordamises, tellitakse kooskõlas direktiivis kehtestatud rangete tingimustega","Kyse on uusista rakennusurakoista/palveluista, jotka ovat nykyisen rakennusurakan tai palvelun toistamista ja jotka tilataan direktiivissä asetettujen tiukkojen ehtojen mukaisesti","Oibreacha/seirbhísí nua, is athdhéanamh oibreacha nó seirbhísí reatha agus iad ordaithe de réir na gcoinníollacha diana atá luaite sa Treoir",Novi radovi/usluge koji se sastoje od ponavljanja postojećih radova/usluga i koji se nabavljaju prema strogim uvjetima navedenima u Direktivi,"A korábbi építési beruházás/szolgáltatás megismétlését jelentő új építési beruházás/szolgáltatás megrendelésére került sor, az irányelvben megállapított szigorú feltételeknek megfelelően","Nuovi lavori o servizi consistenti nella ripetizione di lavori o servizi precedenti, nel rispetto delle rigorose condizioni fissate dalla direttiva","Nauji darbai ar paslaugos, kuriais pakartojami esami darbai ar paslaugos ir kurie užsakomi griežtai laikantis direktyvoje nustatytų sąlygų","Jauni būvdarbi/pakalpojumi, kas ir esošo būvdarbu/pakalpojumu atkārtojums un tiek pasūtīti saskaņā ar stingriem direktīvā izklāstītajiem nosacījumiem","Xogħlijiet/servizzi ġodda, li jikkostitwixxu ripetizzjoni ta' xogħlijiet/servizzi eżistenti u ordnati skont il-kundizzjonijiet stretti msemmija fid-direttiva",Nieuwe werken/diensten die een herhaling zijn van bestaande werken/diensten en die zijn besteld volgens de in de richtlijn vermelde strikte voorwaarden,"Nowe roboty budowlane/usługi, będące powtórzeniem istniejących robót budowlanych/usług oraz zamówione zgodnie z warunkami ściśle określonymi w dyrektywie",Novas obras/serviços que consistem na repetição de anteriores obras/serviços e foram encomendadas de acordo com as condições estritas fixadas na diretiva,"Lucrări/servicii noi, constituind o repetare a lucrărilor/serviciilor existente și solicitate în conformitate cu condițiile stricte prevăzute de directivă",Nové práce/služby predstavujúce opakovanie jestvujúcich prác/služieb obstarávaných v súlade s presne stanovenými podmienkami uvedenými v smernici,"Nove gradnje/storitve, ki predstavljajo ponovitev obstoječih gradenj/storitev in se naročajo v skladu z natančno določenimi pogoji iz Direktive","Nya byggentreprenader/tjänster, som är en upprepning av tidigare byggentreprenader/tjänster och beställs i enlighet med de strikta villkoren i direktivet",,,
d_repetition_existing_serv,,,"New services, constituting a repetition of existing services and ordered in accordance with the strict conditions stated in the directive",Nouveaux services consistant dans la répétition de services existants et commandés dans des circonstances rigoureusement conformes aux conditions énoncées dans la directive,"Neue Dienstleistungen, die in der Wiederholung gleichartiger Dienstleistungen bestehen und die gemäß den strengen Vorschriften der Richtlinie vergeben werden","Нови услуги, състоящи се в повторение на съществуващи услуги и възложени в съответствие със строгите условия, указани в директивата","Nové služby, které představují opakování stávajících služeb a jsou objednány v souladu s přísnými podmínkami stanovenými v dané směrnici","Nye tjenesteydelser, der er en gentagelse af tilsvarende tjenesteydelser og bestilt under streng overholdelse af direktivets betingelser","Νέες υπηρεσίες, που συνίστανται στην επανάληψη υφιστάμενων υπηρεσιών και για τις οποίες υποβάλλεται παραγγελία σύμφωνα με τους αυστηρούς όρους που προβλέπονται στην οδηγία","Servicios nuevos, que consisten en la repetición de servicios existentes y se solicitan de conformidad con las condiciones estrictas establecidas en la Directiva","Uued teenused, mis seisnevad olemasolevate teenuste kordamises ja mis tellitakse kooskõlas direktiivis sätestatud rangete tingimustega","Uudet palvelut, jotka ovat nykyisten palvelujen toistamista ja jotka tilataan direktiivissä asetettujen tiukkojen ehtojen mukaisesti","Oibreacha/seirbhísí nua, is athdhéanamh oibreacha nó seirbhísí reatha agus iad ordaithe de réir na gcoinníollacha diana atá luaite sa Treoir",Nove usluge koje se sastoje od ponavljanja postojećih usluga i koje se nabavljaju prema strogim uvjetima navedenima u Direktivi,A korábbi szolgáltatás megismétlését jelentő új szolgáltatás megrendelésére került sor az irányelvben megállapított szigorú feltételeknek megfelelően,"Nuovi servizi consistenti nella ripetizione di servizi precedenti, alle rigorose condizioni fissate dalla direttiva","Naujos paslaugos, kuriomis pakartojamos esamos paslaugos ir kurios užsakomos griežtai laikantis direktyvoje nustatytų sąlygų ","Jauni pakalpojumi, kas ir esošo pakalpojumu atkārtojums un ko pasūta saskaņā ar stingriem direktīvā izklāstītajiem nosacījumiem","Servizzi ġodda, li jikkostitwixxu ripetizzjoni ta' servizzi eżistenti u ordnati skont il-kundizzjonijiet stretti msemmija fid-direttiva",Nieuwe diensten die een herhaling zijn van bestaande diensten en die zijn besteld volgens de in de richtlijn vermelde strikte voorwaarden,"Nowe usługi, będące powtórzeniem istniejących usług oraz zamówione zgodnie z warunkami ściśle określonymi w dyrektywie","Novos serviços, que consistem na repetição de anteriores serviços e foram encomendados de acordo com as condições estritas fixadas na diretiva","Servicii noi, constituind o repetare a serviciilor existente şi comandate în conformitate cu condiţiile stricte prevăzute de directivă",Nové služby predstavujúce opakovanie existujúcich služieb obstarávaných v súlade s presne stanovenými podmienkami uvedenými v smernici,"Nove storitve, ki predstavljajo ponovitev obstoječih storitev in se naročajo v skladu z natančnimi pogoji iz Direktive","Nya tjänster, som är en upprepning av tidigare tjänster och beställs i enlighet med de strikta villkoren i direktivet",,,
d_serv_advantageous_terms,,,Purchase of services on particularly advantageous terms,Acquisition de services à des conditions particulièrement avantageuses,Beschaffung der Dienstleistungen zu besonders günstigen Bedingungen,Покупка на услуги при особено изгодни условия,Nákup služeb za obzvláště výhodných podmínek,Indkøb af tjenesteydelser på særlig fordelagtige vilkår,Αγορά υπηρεσιών υπό ιδιαίτερα ευνοϊκούς όρους,Adquisición de servicios en condiciones especialmente ventajosas,Teenused ostetakse erakordselt soodsatel tingimustel,Palveluiden hankinta erityisen edullisin ehdoin,Seirbhísí a cheannach ar théarmaí fíorbhuntáisteacha,Nabava usluga po posebno povoljnim uvjetima,Szolgáltatások különösen kedvező feltételek mellett történő beszerzése,Acquisto di servizi a condizioni particolarmente vantaggiose,Paslaugų pirkimas ypač palankiomis sąlygomis,Pakalpojumu iepirkums ar īpaši izdevīgiem noteikumiem,Xiri ta’ servizzi fuq termini partikolarment vantaġġużi,Aankopen van diensten tegen bijzonder gunstige voorwaarden,Nabycie usług na szczególnie korzystnych warunkach,Aquisição de serviços em condições especialmente vantajosas,Cumpărarea de servicii în condiţii deosebit de avantajoase,Na nákup tovarov za mimoriadne výhodných podmienok,Nakup storitev pod posebno ugodnimi pogoji,Kontraktet avser inköp av tjänster på särskilt gynnsamma villkor,,,
d_serv_can_provided_only,,,The services can be provided only by a particular economic operator for the following reason,Les services ne peuvent être fournis que par un opérateur économique déterminé pour la raison suivante,Die Dienstleistungen können aus folgenden Gründen nur von einem bestimmten Wirtschaftsteilnehmer ausgeführt werden,Услугите могат да бъдат предоставени само от определен икономически оператор поради следната причина,Služby mohou být poskytovány pouze konkrétním hospodářským subjektem z důvodu,Kun en bestemt økonomisk aktør kan levere de pågældende tjenesteydelser af følgende årsag,Οι υπηρεσίες μπορούν να παρασχεθούν μόνο από συγκεκριμένο οικονομικό φορέα για τον εξής λόγο,Los servicios únicamente puede prestarlos un determinado operador económico por alguna de las siguientes razones,Teenuseid saab allpool nimetatud põhjusel pakkuda ainult teatav ettevõtja,Palvelut voidaan antaa ainoastaan tietyn taloudellisen toimijan suoritettaviksi tai toimitettaviksi seuraavasta syystä,Ní féidir na seirbhísí a chur ar fáil ach amháin ag oibreoir eacnamaíoch áirithe ar an gcúis a leanas,Usluge može pružati samo određeni gospodarski subjekt zbog sljedećeg,"A szolgáltatást kizárólag egy meghatározott gazdasági szereplő képes teljesíteni, a következő ok miatt",I servizi possono essere prestati unicamente da un determinato offerente per i seguenti motivi,Teikti paslaugas gali tik konkretus ekonominės veiklos vykdytojas dėl šios priežasties,Pakalpojumus var nodrošināt tikai konkrēts ekonomikas dalībnieks šādu iemeslu dēļ,Is-servizzi jistgħu jkunu pprovduti biss minn operatur ekonomiku partikolari għar-raġuni li ġejja,De diensten kunnen om de volgende reden alleen door een specifieke ondernemer worden verleend,Usługi mogą być zrealizowane tylko przez określonego wykonawcę z następującego powodu,"Os serviços só podem ser prestados por um determinado operador económico, pela seguinte razão",Serviciile pot fi prestate numai de un anumit operator economic pentru următorul motiv,Služby môže poskytnúť len určitý hospodársky subjekt z týchto dôvodov,Storitve lahko zagotovi samo določen gospodarski subjekt iz naslednjega razloga,Tjänsterna kan endast tillhandahållas/utföras av en viss anbudsgivare av följande skäl,,,
d_serv_listed_a2b,,,The contract has as its object services listed in Annex II B to the directive,Le marché a pour objet des services figurant à l’annexe II B de la directive,"Der Auftrag betrifft Dienstleistungen, die Gegenstand von Anhang II B der Richtlinie sind","Обект на поръчката са услугите, изброени в приложение II Б към директивата",Předmětem zakázky jsou služby uvedené v příloze II B dané směrnice,Kontraktgenstanden er tjenesteydelser anført i bilag II B til direktivet,Η σύμβαση έχει ως αντικείμενο υπηρεσίες που παρατίθενται στο παράρτημα II Β της οδηγίας,El objeto del contrato son servicios de los enumerados en el anexo II B de la Directiva,Hankelepingu objektiks on direktiivi II B lisas loetletud teenused,Sopimus koskee direktiivin liitteessä II B lueteltuja palveluja,Is é cuspóir an chonartha na seirbhísí atá liostaithe in Iarscríbhinn II B a ghabhann leis an Treoir,Ugovor ima za predmet usluge navedene u Prilogu II. B Direktivi,A szerződés tárgyát az irányelv IIB. mellékletében szereplő szolgáltatások képezik,L'appalto ha per oggetto i servizi di cui all'allegato II B della direttiva,Sutarties objektas – direktyvos II priedo B dalyje išvardytos paslaugos,Līguma priekšmets ir direktīvas II B pielikumā uzskaitītie pakalpojumi,L-għan tal-kuntratt huwa s-servizzi elenkati fl-Anness II B għad-Direttiva,Het voorwerp van de opdracht betreft in bijlage II B bij de richtlijn vermelde diensten,Przedmiotem zamówienia są usługi wymienione w załączniku IIB do dyrektywy,O contrato tem por objeto serviços que constam do anexo II.B da diretiva,Contractul are ca obiect serviciile enumerate în anexa II B la directivă,Predmetom zákazky sú služby uvedené v prílohe II B k smernici,"Naročilo, katerega predmet so storitve s seznama iz Priloge II B k Direktivi",Kontraktet avser tjänster upptagna i bilaga II B till direktivet,,,
d_service_contract,,,Service contract to be awarded to the winner or one of winners under the rules of a design contest,Marché de services attribué au lauréat ou à l’un des lauréats d'un concours,"Dienstleistungsauftrag, der an den Gewinner oder an einen der Gewinner eines Wettbewerbs vergeben wird","Поръчка за услуги, предхождана от конкурс за проект, възложена съгласно предвидените в конкурса за проект правила на победителя или на един от победителите в него",Zakázka na služby se zadá vítězi nebo jednomu z vítězů soutěže o návrh,"Tjenesteydelseskontrakt, der skal tildeles vinderen eller en af vinderne af en projektkonkurrence",Σύμβαση υπηρεσιών η οποία πρόκειται να ανατεθεί στον νικητή ή σε έναν από τους νικητές σύμφωνα με τους κανόνες ενός διαγωνισμού μελετών,Contrato de servicios que se adjudicará al ganador o a uno de los ganadores con arreglo a las normas previstas en un concurso de proyectos,Teenuste hankeleping tuleb ideekonkursi eeskirjade järgi sõlmida ideekonkursi võitjaga või ühega võitjatest,"Palveluhankintoja koskeva sopimus, joka tehdään suunnittelukilpailun sääntöjen mukaisesti voittajan tai yhden niistä kanssa",Conradh seirbhíse le dámhachtain don iarrthóir rathúil nó do cheann acu de réir rialacha comórtais dearaidh,Ugovor o uslugama dodjeljuje se pobjedniku ili jednom od pobjednika prema pravilima projektnog natječaja,Tervpályázati eljárás szabályai alapján a nyertes ajánlattevőnek vagy a nyertes ajánlattevők valamelyikének odaítélendő szolgáltatási szerződés,Appalto di servizi da aggiudicare al vincitore o a uno dei vincitori in base alle norme previste nel concorso di progettazione,Paslaugų pirkimo sutartis su konkurso laimėtoju ar vienu iš laimėtojų bus sudaryta laikantis projekto konkurso taisyklių,Pakalpojumu līguma slēgšanas tiesības tiks piešķirtas uzvarētājam vai vienam no uzvarētājiem atbilstoši metu konkursa noteikumiem,Kuntratt ta' servizz li se jingħata lir-rebbieħ jew wieħed mir-rebbieħa skont ir-regoli ta' kompetizzjoni ta' disinn,De opdracht voor diensten wordt gegund aan de winnaar of een van de winnaars volgens de regels inzake prijsvragen voor ontwerpen,"Zamówienie na usługi, które zostanie udzielone zwycięzcy lub jednemu ze zwycięzców przeprowadzonego konkursu",Contrato de serviços a adjudicar ao vencedor ou a um dos vencedores no âmbito das regras de um concurso de conceção,Contract de servicii care va fi atribuit câştigătorului sau unuia dintre câştigători conform regulilor unui concurs de proiecte,"Zákazka na poskytnutie služieb, ktorá sa pridelí úspešnému uchádzačovi alebo jednému z nich na základe pravidiel súťaže návrhov",Javno naročilo storitev bo oddano uspešnemu kandidatu ali enemu od uspešnih kandidatov po pravilih natečaja,Kontraktet är ett tjänstekontrakt som tilldelas vinnaren eller en av vinnarna i en projekttävling,,,
d_technical,,,absence of competition for technical reasons,absence de concurrence pour des raisons techniques,nicht vorhandener Wettbewerb aus technischen Gründen,отсъствие на конкуренция по технически причини,neexistence hospodářské soutěže z technických důvodů,manglende konkurrence af tekniske årsager,απουσία ανταγωνισμού για τεχνικούς λόγους,ausencia de competencia por razones técnicas,konkurentsi puudumine tehnilistel põhjustel,teknisistä syistä johtuva kilpailun puuttuminen,easnamh iomaíochais ar chúiseanna teicniúla,nepostojanje tržišnog natjecanja zbog tehničkih razloga,verseny hiánya technikai okokból,la concorrenza è assente per motivi tecnici,konkurencijos nebuvimas dėl techninių priežasčių,konkurences nav tehnisku iemeslu dēļ,nuqqas ta' kompetizzjoni għal raġunijiet tekniċi,geen mededinging om technische redenen,brak konkurencji ze względów technicznych,inexistência de concorrência por razões técnicas,absenţa concurenţei pentru motive tehnice,chýbajúca hospodárska súťaž z technických dôvodov,odsotnost konkurence iz tehničnih razlogov,Konkurrens saknas av tekniska skäl,,,
date,,,Date,Date,Tag,Дата,Datum,Dato,Ημερομηνία,Fecha,Kuupäev,Päivämäärä,Dáta,Datum,Dátum,Data,Data,Datums,Data,Datum,Data,Data,Data,Dátum,Datum,Datum,,,
date_award,,,Date of conclusion of the contract,Date de conclusion du marché,Tag des Vertragsabschlusses,Дата на сключване на договора,Datum uzavření smlouvy,Dato for indgåelse af kontrakten,Ημερομηνία σύναψης της σύμβασης,Fecha de celebración del contrato,Lepingu sõlmimise kuupäev,Sopimuksen tekemisen päivämäärä,Dáta shocrú an chonartha,Datum sklapanja ugovora ,A szerződés megkötésének dátuma,Data di conclusione del contratto d'appalto,Sutarties sudarymo data,Līguma noslēgšanas datums,Id-data tal-iffirmar tal-kuntratt,Datum van de sluiting van de overeenkomst,Data zawarcia umowy,Data de celebração do contrato,Data încheierii contractului,Dátum uzatvorenia zmluvy,Datum sklenitve pogodbe,Datum för beslut om tilldelning av kontrakt,,,
date_award_concess,,,Date of concession award decision,Date de la décision d'attribution de la concession,Tag der Entscheidung über die Konzessionsvergabe,Дата на решението за възлагане на концесията,Datum vydání rozhodnutí o udělení koncese,Dato for beslutning om tildeling af koncession,Ημερομηνία της απόφασης ανάθεσης σύμβασης παραχώρησης,Fecha de la decisión de adjudicación de la concesión,Kontsessiooni andmise otsuse kuupäev,Käyttöoikeussopimuksen tekopäätöksen päivämäärä,Dáta chinneadh na dámhachtana lamháltais,Datum odluke o dodjeli koncesije,A koncesszió odaítéléséről szóló döntés dátuma,Data della decisione di aggiudicazione della concessione,Sprendimo suteikti koncesiją priėmimo data,Koncesijas piešķiršanas lēmuma datums,Id-data tad-deċiżjoni tal-għoti tal-konċessjoni,Datum van het besluit tot gunning van de concessieovereenkomst,Data decyzji o udzieleniu koncesji,Data da decisão de adjudicação da concessão,Data deciziei de atribuire a concesiunii,Dátum rozhodnutia o pridelení koncesie,Datum sklepa o podelitvi koncesije,Datum för beslutet om tilldelning av koncession,,,
date_award_contract_concess,,,Date of conclusion of the contract/concession award decision,Date de la conclusion du marché/de la décision d'attribution de la concession,Tag des Abschlusses des Vertrags/der Entscheidung über die Konzessionsvergabe,Дата на сключване на договора/решението за възлагане на концесия,Datum uzavření smlouvy/vydání rozhodnutí o udělení koncese,Dato for indgåelse af kontrakten/beslutningen om tildeling af koncession,Ημερομηνία σύναψης της σύμβασης/απόφασης ανάθεσης της σύμβασης παραχώρησης,Fecha de celebración del contrato/de la decisión de adjudicación de la concesión,Lepingu sõlmimise/kontsessiooni andmise otsuse kuupäev,Sopimuksen/käyttöoikeussopimuksen tekemistä koskevan päätöksen päivämäärä,Dáta chur i gcrích an chonartha/chinneadh na dámhachtana lamháltais,Datum sklapanja ugovora/odluke o dodjeli koncesije,A szerződéskötés/a koncesszió odaítéléséről szóló döntés dátuma,Data di conclusione del contratto d'appalto/della decisione di aggiudicazione della concessione,Sutarties sudarymo ar sprendimo dėl koncesijos suteikimo data,Līguma noslēgšanas/koncesijas piešķiršanas lēmuma datums,Id-data tal-konklużjoni tal-kuntratt/tad-deċiżjoni għall-għoti tal-konċessjoni,Datum van de sluiting van de overeenkomst/het besluit tot gunning van de concessieovereenkomst,Data zawarcia umowy/decyzji o udzieleniu koncesji,Data de celebração do contrato/decisão de adjudicação da concessão,Data încheierii contractului/deciziei de atribuire a concesiunii,Dátum uzatvorenia zmluvy/rozhodnutia o pridelení koncesie,Datum sklenitve pogodbe/sklepa o podelitvi koncesije,Datum för ingåendet av kontraktet/beslutet om tilldelning av koncession,,,
date_award_exante,,,Date of contract award decision,Date d'attribution du marché,Tag der Zuschlagsentscheidung,Дата на решението за възлагане на поръчката,Datum zadání zakázky,Dato for beslutningen om kontrakttildeling,Ημερομηνία ανάθεσης της σύμβασης,Fecha de adjudicación del contrato,Hankelepingu sõlmimise otsuse kuupäev,Hankintasopimusta koskevan päätöksen päivämäärä,Dáta an chinnidh faoi dhámhachtain an chonartha,Datum sklapanja ugovora,Az eljárást lezáró döntés meghozatalának időpontja,Data della decisione di aggiudicazione dell'appalto,Sprendimo sudaryti sutartį priėmimo data,Līguma slēgšanas tiesību piešķiršanas lēmuma datums,Data tad-deċiżjoni dwar l-għoti tal-kuntratt,Datum van de beslissing tot gunning van de opdracht,Data decyzji o udzieleniu zamówienia,Data da decisão de adjudicação do contrato,Data deciziei de atribuire a contractului,Dátum rozhodnutia o zadaní zákazky,Datum oddaje naročila,Datum för beslut om tilldelning av kontrakt,,,
date_dispatch,,,Date of dispatch of this notice,Date d’envoi du présent avis,Tag der Absendung dieser Bekanntmachung,Дата на изпращане на настоящото обявление,Datum odeslání tohoto oznámení,Dato for afsendelse af denne bekendtgørelse,Ημερομηνία αποστολής της παρούσας προκήρυξης,Fecha de envío del presente anuncio,Käesoleva teate lähetamise kuupäev,Tämän ilmoituksen lähettämispäivä,Dáta seolta an fhógra seo,Datum slanja ove obavijesti,E hirdetmény feladásának dátuma,Data di spedizione del presente avviso,Šio skelbimo išsiuntimo data,Šā paziņojuma nosūtīšanas datums,Data ta' meta ntbagħat dan l-avviż,Datum van verzending van deze aankondiging,Data wysłania niniejszego ogłoszenia,Data de envio do presente anúncio,Data expedierii prezentului anunț,Dátum odoslania tohto oznámenia,Datum pošiljanja tega obvestila,Datum då meddelandet sänts,,,
date_dispatch_participate_selected,,,Date of dispatch of invitations to participate to selected candidates,Date d'envoi des invitations à participer aux candidats sélectionnés,Tag der Absendung der Aufforderungen zur Teilnahme an ausgewählte Bewerber,Дата на изпращане на поканите за участие на избраните кандидати,Datum odeslání výzev k účasti vybraným zájemcům,Dato for afsendelse til udvalgte ansøgere af opfordringer til at deltage,Ημερομηνία αποστολής των προσκλήσεων συμμετοχής σε επιλεγέντες υποψηφίους,Fecha de envío a los candidatos seleccionados de las invitaciones a participar,"Kuupäev, mil valitud taotlejatele saadetakse osalemise ettepanekud","Päivä, jona osallistumiskutsut lähetetään valituille ehdokkaille",Dáta seolta na gcuirí chun rannpháirtíochta chuig iarrthóirí roghnaithe,Datum slanja poziva na sudjelovanje odabranim natjecateljima,Részvételi felhívás kiválasztott jelentkezők részére történő megküldésének dátuma,Data di spedizione degli inviti a partecipare ai candidati prescelti,Kvietimų dalyvauti pirkimo procedūroje išsiuntimo atrinktiems kandidatams data,"Datums, kad atlasītājiem kandidātiem nosūtīts dalības uzaicinājums",Data ta’ meta ntbagħtu l-istediniet għall-parteċipazzjoni lill-kandidati magħżula,Datum van verzending van de uitnodigingen tot deelneming aan de geselecteerde gegadigden,Data wysłania zaproszeń do udziału zakwalifikowanym kandydatom,Data de envio dos convites para participar aos candidatos selecionados,Data expedierii invitațiilor de participare către candidații selectați,Dátum odoslania výziev na účasť vybraným uchádzačom,Datum pošiljanja povabil k udeležbi izbranim kandidatom,Datum för avsändande av inbjudan till utvalda sökanden att delta,,,
date_dispatch_tender_participate,,,Estimated date of dispatch of invitations to tender or to participate to selected candidates,Date d’envoi estimée des invitations à soumissionner ou à participer aux candidats sélectionnés,Voraussichtlicher Tag der Absendung der Aufforderungen zur Angebotsabgabe bzw. zur Teilnahme an ausgewählte Bewerber,Прогнозна дата на изпращане на покани за търг или за участие на избраните кандидати,Předpokládané datum odeslání výzvy v k podání nabídek nebo účasti vybraným zájemcům,Forventet dato for afsendelse af opfordringer til at afgive bud eller at deltage til udvalgte ansøgere,Εκτιμώμενη ημερομηνία αποστολής των προσκλήσεων υποβολής προσφορών ή συμμετοχής στους επιλεγέντες υποψηφίους,Fecha estimada de envío a los candidatos seleccionados de las invitaciones a licitar o a participar,"Kuupäev, mil valitud taotlejatele saadetakse pakkumuse esitamise või osalemise ettepanekud","Arvioitu päivä, jona tarjouspyynnöt tai osallistumishakemukset lähetetään valituille ehdokkaille",Dáta measta maidir le seoladh na gcuirí chun tairisceana nó chun rannpháirtíochta chuig iarrthóirí roghnaithe,Procijenjeni datum slanja poziva na dostavu ponuda ili na sudjelovanje odabranim natjecateljima,Az ajánlattételi vagy részvételi felhívás kiválasztott jelentkezők részére történő megküldésének becsült dátuma,Data stimata di spedizione ai candidati prescelti degli inviti a presentare offerte o a partecipare,Kvietimų pateikti pasiūlymus ar dalyvauti pirkimo procedūroje išsiuntimo atrinktiems kandidatams numatyta data,"Datums, kad atlasītajiem kandidātiem nosūtīts dalības vai piedāvājumu iesniegšanas uzaicinājums",Id-data maħsuba għad-dispaċċ tal-istediniet għall-offerti jew għas-sehem lil kandidati magħżula,Geraamde datum van verzending van uitnodigingen tot inschrijving of deelneming aan geselecteerde gegadigden,Szacunkowa data wysłania zaproszeń do składania ofert lub do udziału wybranym kandydatom,Data prevista de envio dos convites à apresentação de propostas ou dos convites para participar aos candidatos selecionados,Data estimată a expedierii invitațiilor de prezentare a ofertelor sau de participare către candidații selectați,Predpokladaný dátum odoslania výziev na súťaž alebo na účasť vybraným uchádzačom,Predvideni datum pošiljanja povabil k oddaji ponudbe ali sodelovanju izbranim kandidatom,Uppskattat datum för avsändande av inbjudan till utvalda kandidater att lämna anbud eller delta,,,
date_of_contract_notice,,,Estimated date of publication of contract notice,Date prévue pour le lancement de la procédure de passation,Voraussichtlicher Tag der Veröffentlichung der Auftragsbekanntmachung,Прогнозна дата за публикуване на обявление за поръчка,Předpokládané datum zveřejnění oznámení o zahájení zadávacího řízení,Foreløbig dato for offentliggørelse af udbudsbekendtgørelse,Εκτιμώμενη ημερομηνία δημοσίευσης της προκήρυξης σύμβασης,Fecha estimada de publicación del anuncio de licitación,Hanketeate avaldamise eeldatav kuupäev,Hankintailmoituksen arvioitu julkaisupäivämäärä,Dáta measta fhoilsiú an fhógra conartha,Procijenjeni datum objave obavijesti o nadmetanju,Az ajánlati/részvételi felhívás közzétételének várható dátuma,Data prevista di pubblicazione del bando di gara,Numatoma skelbimo apie pirkimą paskelbimo data,Paziņojuma par līgumu publicēšanas paredzamais datums,Id-data stmata tal-pubblikazzjoni tal-avviż tal-kuntratt,Vermoedelijke datum van de bekendmaking van de aankondiging van een opdracht,Szacowana data publikacji ogłoszenia o zamówieniu,Data prevista da publicação do anúncio de concurso,Data estimată pentru publicarea anunţului de participare,Predpokladaný dátum zverejnenia oznámenia o vyhlásení verejného obstarávania,Predvideni datum objave obvestila o naročilu,Beräknat datum för offentliggörande av upphandlingsmeddelande,,,
date_tender_valid,,,Tender must be valid until,L'offre doit être valable jusqu'au,Das Angebot muss gültig bleiben bis,Офертата трябва да бъде валидна до,Nabídka musí být platná do,Tilbud skal være gyldige indtil,Η προσφορά πρέπει να ισχύει μέχρι,La oferta debe ser válida hasta,Pakkumus peab olema jõus kuni,Tarjouksen on oltava voimassa seuraavaan päivämäärään saakka,Ní foláir nó go mbeidh an tairiscint bailí go dtí,Ponuda mora biti valjana do,Az ajánlati kötöttség végső dátuma,L'offerta deve essere valida fino al,Pasiūlymas turi galioti iki,Piedāvājumam jābūt spēkā līdz,Is-sejħa għall-offerti trid tibqa' valida sa,De inschrijving moet geldig blijven tot,Oferta musi zachować ważność do,A proposta deve ser válida até,Oferta trebuie să fie valabilă până la,Ponuka musí platiť do,Ponudba mora biti veljavna do,Anbud ska vara giltigt till,,,
